--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
s_suppkey|total_revenue|s_name|s_address|s_phone|
1|0.00|Supplier#000000001|N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ|27-918-335-1736|
2|0.00|Supplier#000000002|89eJ5ksX3ImxJQBvxObC,|15-679-861-2259|
3|0.00|Supplier#000000003|q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3|11-383-516-1199|
4|0.00|Supplier#000000004|Bk7ah4CK8SYQTepEmvMkkgMwg|25-843-787-7479|
5|0.00|Supplier#000000005|Gcdm2rJRzl5qlTVzc|21-151-690-3663|
6|0.00|Supplier#000000006|tQxuVm7s7CnK|24-696-997-4969|
7|0.00|Supplier#000000007|s,4TicNGB4uO6PaSqNBUq|33-990-965-2201|
8|0.00|Supplier#000000008|9Sq4bBH2FQEmaFOocY45sRTxo6yuoG|27-498-742-3860|
9|0.00|Supplier#000000009|1KhUgZegwM3ua7dsYmekYBsK|20-403-398-8662|
10|0.00|Supplier#000000010|Saygah3gYWMp72i PY|34-852-489-8585|
11|0.00|Supplier#000000011|JfwTs,LZrV, M,9C|28-613-996-1505|
12|0.00|Supplier#000000012|aLIW  q0HYd|18-179-925-7181|
13|0.00|Supplier#000000013|HK71HQyWoqRWOX8GI FpgAifW,2PoH|13-727-620-7813|
14|0.00|Supplier#000000014|EXsnO5pTNj4iZRm|25-656-247-5058|
15|0.00|Supplier#000000015|olXVbNBfVzRqgokr1T,Ie|18-453-357-6394|
16|0.00|Supplier#000000016|YjP5C55zHDXL7LalK27zfQnwejdpin4AMpvh|32-822-502-4215|
17|0.00|Supplier#000000017|c2d,ESHRSkK3WYnxpgw6aOqN0q|29-601-884-9219|
18|0.00|Supplier#000000018|PGGVE5PWAMwKDZw|26-729-551-1115|
19|0.00|Supplier#000000019|edZT3es,nBFD8lBXTGeTl|34-278-310-2731|
20|0.00|Supplier#000000020|iybAE,RmTymrZVYaFZva2SH,j|13-715-945-6730|
21|0.00|Supplier#000000021|81CavellcrJ0PQ3CPBID0Z0JwyJm0ka5igEs|12-253-590-5816|
22|0.00|Supplier#000000022|okiiQFk 8lm6EVX6Q0,bEcO|14-144-830-2814|
23|0.00|Supplier#000000023|ssetugTcXc096qlD7 2TL5crEEeS3zk|19-559-422-5776|
24|0.00|Supplier#000000024|C4nPvLrVmKPPabFCj|10-620-939-2254|
25|0.00|Supplier#000000025|RCQKONXMFnrodzz6w7fObFVV6CUm2q|32-431-945-3541|
26|0.00|Supplier#000000026|iV,MHzAx6Z939uzFNkq09M0a1 MBfH7|31-758-894-4436|
27|0.00|Supplier#000000027|lC4CjKwNHUr6L4xIpzOBK4NlHkFTg|28-708-999-2028|
28|0.00|Supplier#000000028|GBhvoRh,7YIN V|10-538-384-8460|
29|0.00|Supplier#000000029|658tEqXLPvRd6xpFdqC2|11-555-705-5922|
30|0.00|Supplier#000000030|84NmC1rmQfO0fj3zkobLT|26-940-594-4852|
31|0.00|Supplier#000000031|fRJimA7zchyApqRLHcQeocVpP|26-515-530-4159|
32|0.00|Supplier#000000032|yvoD3TtZSx1skQNCK8agk5bZlZLug|33-484-637-7873|
33|0.00|Supplier#000000033|gfeKpYw3400L0SDywXA6Ya1Qmq1w6YB9f3R|17-138-897-9374|
34|0.00|Supplier#000000034|mYRe3KvA2O4lL4HhxDKkkrPUDPMKRCSp,Xpa|20-519-982-2343|
35|0.00|Supplier#000000035|QymmGXxjVVQ5OuABCXVVsu,4eF gU0Qc6|31-720-790-5245|
36|0.00|Supplier#000000036|mzSpBBJvbjdx3UKTW3bLFewRD78D91lAC879|23-273-493-3679|
37|0.00|Supplier#000000037|cqjyB5h1nV|10-470-144-1330|
38|0.00|Supplier#000000038|xEcx45vD0FXHT7c9mvWFY|14-361-296-6426|
39|0.00|Supplier#000000039|ZM, nSYpEPWr1yAFHaC91qjFcijjeU5eH|18-851-856-5633|
40|0.00|Supplier#000000040|zyIeWzbbpkTV37vm1nmSGBxSgd2Kp|32-231-247-6991|
41|0.00|Supplier#000000041|G 1FKHR435 wMKFmyt|28-739-447-2525|
42|0.00|Supplier#000000042|1Y5lwEgpe3j2vbUBYj3SwLhK62JlwEMtDC|32-698-298-6317|
43|0.00|Supplier#000000043|Z5mLuAoTUEeKY5v22VnnA4D87Ao6jF2LvMYnlX8h|22-421-568-4862|
44|0.00|Supplier#000000044|kERxlLDnlIZJdN66zAPHklyL|17-713-930-5667|
45|0.00|Supplier#000000045|LcKnsa8XGtIO0WYSB7hkOrH rnzRg1|19-189-635-8862|
46|0.00|Supplier#000000046|e0URUXfDOYMdKe16Z5h5StMRbzGmTs,D2cjap|34-748-308-3215|
47|0.00|Supplier#000000047|3XM1x,Pcxqw,HK4XNlgbnZMbLhBHLA|24-810-354-4471|
48|0.00|Supplier#000000048|jg0U FNPMQDuyuKvTnLXXaLf3Wl6OtONA6mQlWJ|24-722-551-9498|
49|0.00|Supplier#000000049|Nvq 6macF4GtJvz|34-211-567-6800|
50|0.00|Supplier#000000050|rGobqSMMYz0ErrPhCGS|19-561-560-7437|
51|0.00|Supplier#000000051|rDkBXb01POIKjOwrij62uM8O4|19-475-537-1368|
52|0.00|Supplier#000000052|WCk XCHYzBA1dvJDSol4ZJQQcQN,|29-974-934-4713|
