--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
p_size|supplier_cnt|p_brand|p_type|
21|36.00|Brand#55|LARGE BURNISHED TIN|
46|32.00|Brand#22|LARGE POLISHED BRASS|
13|32.00|Brand#24|ECONOMY PLATED TIN|
31|32.00|Brand#45|MEDIUM BRUSHED BRASS|
38|32.00|Brand#51|ECONOMY BRUSHED STEEL|
50|32.00|Brand#53|PROMO ANODIZED BRASS|
15|28.00|Brand#12|STANDARD POLISHED STEEL|
38|28.00|Brand#14|MEDIUM ANODIZED TIN|
41|28.00|Brand#23|MEDIUM BRUSHED STEEL|
24|28.00|Brand#25|PROMO BRUSHED STEEL|
43|28.00|Brand#34|STANDARD BURNISHED NICKEL|
4|28.00|Brand#34|STANDARD PLATED BRASS|
48|28.00|Brand#41|ECONOMY ANODIZED STEEL|
3|28.00|Brand#41|MEDIUM BRUSHED TIN|
40|28.00|Brand#42|STANDARD POLISHED NICKEL|
15|28.00|Brand#45|SMALL BRUSHED BRASS|
8|28.00|Brand#54|STANDARD ANODIZED COPPER|
17|28.00|Brand#55|MEDIUM BRUSHED COPPER|
29|28.00|Brand#55|STANDARD POLISHED NICKEL|
14|27.00|Brand#54|STANDARD BRUSHED COPPER|
15|27.00|Brand#55|STANDARD BRUSHED STEEL|
5|24.00|Brand#11|MEDIUM PLATED STEEL|
23|24.00|Brand#11|STANDARD BRUSHED TIN|
36|24.00|Brand#11|STANDARD BURNISHED BRASS|
44|24.00|Brand#11|STANDARD BURNISHED BRASS|
39|24.00|Brand#11|STANDARD POLISHED TIN|
42|24.00|Brand#12|ECONOMY PLATED BRASS|
10|24.00|Brand#12|LARGE BURNISHED NICKEL|
38|24.00|Brand#12|MEDIUM BRUSHED TIN|
21|24.00|Brand#12|MEDIUM PLATED BRASS|
11|24.00|Brand#12|SMALL POLISHED TIN|
13|24.00|Brand#13|ECONOMY PLATED STEEL|
1|24.00|Brand#13|MEDIUM BRUSHED NICKEL|
40|24.00|Brand#13|PROMO PLATED TIN|
30|24.00|Brand#13|SMALL BRUSHED TIN|
8|24.00|Brand#13|SMALL PLATED COPPER|
50|24.00|Brand#14|ECONOMY ANODIZED TIN|
5|24.00|Brand#14|ECONOMY PLATED TIN|
33|24.00|Brand#14|ECONOMY PLATED TIN|
48|24.00|Brand#14|PROMO PLATED COPPER|
32|24.00|Brand#14|SMALL BRUSHED COPPER|
3|24.00|Brand#15|MEDIUM ANODIZED NICKEL|
32|24.00|Brand#15|MEDIUM PLATED BRASS|
47|24.00|Brand#15|PROMO ANODIZED TIN|
45|24.00|Brand#15|SMALL ANODIZED BRASS|
19|24.00|Brand#15|SMALL BURNISHED NICKEL|
26|24.00|Brand#15|SMALL PLATED BRASS|
5|24.00|Brand#15|STANDARD POLISHED TIN|
16|24.00|Brand#21|LARGE BURNISHED NICKEL|
10|24.00|Brand#21|LARGE POLISHED NICKEL|
3|24.00|Brand#21|MEDIUM ANODIZED COPPER|
30|24.00|Brand#21|SMALL BURNISHED STEEL|
25|24.00|Brand#21|STANDARD BRUSHED TIN|
32|24.00|Brand#21|STANDARD BRUSHED TIN|
30|24.00|Brand#21|STANDARD PLATED NICKEL|
10|24.00|Brand#22|ECONOMY BURNISHED STEEL|
6|24.00|Brand#22|LARGE ANODIZED BRASS|
44|24.00|Brand#22|MEDIUM ANODIZED NICKEL|
3|24.00|Brand#22|SMALL BRUSHED NICKEL|
19|24.00|Brand#22|SMALL BURNISHED BRASS|
12|24.00|Brand#22|STANDARD ANODIZED TIN|
40|24.00|Brand#23|ECONOMY BRUSHED TIN|
50|24.00|Brand#23|ECONOMY PLATED NICKEL|
41|24.00|Brand#23|PROMO BRUSHED NICKEL|
5|24.00|Brand#23|PROMO BRUSHED TIN|
38|24.00|Brand#23|STANDARD PLATED BRASS|
47|24.00|Brand#23|STANDARD POLISHED NICKEL|
38|24.00|Brand#23|STANDARD POLISHED STEEL|
33|24.00|Brand#24|ECONOMY PLATED TIN|
