--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
ps_partkey_1|ps_availqty|ps_suppkey|ps_availqty_1|ps_suppkey|ps_partkey_1|n_nationkey|ps_partkey|ps_suppkey_1|p_partkey_1|ps_suppkey_2|s_suppkey|ps_partkey|s_nationkey|p_partkey_1|p_partkey|ps_partkey_1|(0.5 * sum(l_quantity))|sum(l_quantity)|ps_suppkey|p_name|p_name_1|s_name|n_name|s_address|
72498|1931|20|1931|20|72498|3|72498|20|72498|20|20|72498|3|72498|72498|39.00|19.50|39.00|19.50|forest grey metallic midnight sky|forest grey metallic midnight sky|Supplier#000000020|CANADA|iybAE,RmTymrZVYaFZva2SH,j|
62572|9457|91|9457|91|62572|3|62572|91|62572|91|91|62572|3|62572|62572|67.00|33.50|67.00|33.50|forest spring magenta plum ghost|forest spring magenta plum ghost|Supplier#000000091|CANADA|YV45D7TkfdQanOOZ7q9QxkyGUapU1oOWU6q3|
55194|6175|205|6175|205|55194|3|55194|205|55194|205|205|55194|3|55194|55194|32.00|16.00|32.00|16.00|forest tan coral plum sky|forest tan coral plum sky|Supplier#000000205|CANADA|rF uV8d0JNEk|
60284|6018|285|6018|285|60284|3|60284|285|60284|285|285|60284|3|60284|60284|47.00|23.50|47.00|23.50|forest honeydew yellow light hot|forest honeydew yellow light hot|Supplier#000000285|CANADA|Br7e1nnt1yxrw6ImgpJ7YdhFDjuBf|
150286|9374|287|9374|287|150286|3|150286|287|150286|287|287|150286|3|150286|150286|42.00|21.00|42.00|21.00|forest ivory slate white lace|forest ivory slate white lace|Supplier#000000287|CANADA|7a9SP7qW5Yku5PvSg|
122817|6482|354|6482|354|122817|3|122817|354|122817|354|354|122817|3|122817|122817|28.00|14.00|28.00|14.00|forest grey burlywood puff white|forest grey burlywood puff white|Supplier#000000354|CANADA|w8fOo5W,aS|
80377|2843|378|2843|378|80377|3|80377|378|80377|378|378|80377|3|80377|80377|57.00|28.50|57.00|28.50|forest midnight orchid gainsboro firebrick|forest midnight orchid gainsboro firebrick|Supplier#000000378|CANADA|FfbhyCxWvcPrO8ltp9|
65389|6398|402|6398|402|65389|3|65389|402|65389|402|402|65389|3|65389|65389|22.00|11.00|22.00|11.00|forest goldenrod pale metallic green|forest goldenrod pale metallic green|Supplier#000000402|CANADA|i9Sw4DoyMhzhKXCH9By,AYSgmD|
80529|6200|530|6200|530|80529|3|80529|530|80529|530|530|80529|3|80529|80529|45.00|22.50|45.00|22.50|forest almond firebrick dodger goldenrod|forest almond firebrick dodger goldenrod|Supplier#000000530|CANADA|0qwCMwobKY OcmLyfRXlagA8ukENJv,|
130554|3004|555|3004|555|130554|3|130554|555|130554|555|555|130554|3|130554|130554|84.00|42.00|84.00|42.00|forest steel coral brown chiffon|forest steel coral brown chiffon|Supplier#000000555|CANADA|TfB,a5bfl3Ah 3Z 74GqnNs6zKVGM|
70639|6485|640|6485|640|70639|3|70639|640|70639|640|640|70639|3|70639|70639|49.00|24.50|49.00|24.50|forest steel light green slate|forest steel light green slate|Supplier#000000640|CANADA|mvvtlQKsTOsJj5Ihk7,cq|
18227|4029|729|4029|729|18227|3|18227|729|18227|729|729|18227|3|18227|18227|10.00|5.00|10.00|5.00|forest lavender orchid blush mint|forest lavender orchid blush mint|Supplier#000000729|CANADA|pqck2ppy758TQpZCUAjPvlU55K3QjfL7Bi|
60735|5113|736|5113|736|60735|3|60735|736|60735|736|736|60735|3|60735|60735|12.00|6.00|12.00|6.00|forest navy navajo dim lavender|forest navy navajo dim lavender|Supplier#000000736|CANADA|l6i2nMwVuovfKnuVgaSGK2rDy65DlAFLegiL7|
188242|6991|761|6991|761|188242|3|188242|761|188242|761|761|188242|3|188242|188242|17.00|8.50|17.00|8.50|forest burnished sky lavender spring|forest burnished sky lavender spring|Supplier#000000761|CANADA|zlSLelQUj2XrvTTFnv7WAcYZGvvMTx882d4|
173335|993|887|993|887|173335|3|173335|887|173335|887|887|173335|3|173335|173335|21.00|10.50|21.00|10.50|forest plum light chartreuse red|forest plum light chartreuse red|Supplier#000000887|CANADA|urEaTejH5POADP2ARrf|
80934|1803|935|1803|935|80934|3|80934|935|80934|935|935|80934|3|80934|80934|45.00|22.50|45.00|22.50|forest red blanched chiffon peru|forest red blanched chiffon peru|Supplier#000000935|CANADA|ij98czM 2KzWe7dDTOxB8sq0UfCdvrX|
195936|3972|975|3972|975|195936|3|195936|975|195936|975|975|195936|3|195936|195936|21.00|10.50|21.00|10.50|forest navy dim turquoise snow|forest navy dim turquoise snow|Supplier#000000975|CANADA|,AC e,tBpNwKb5xMUzeohxlRn, hdZJo73gFQF8y|
28760|4405|1263|4405|1263|28760|3|28760|1263|28760|1263|1263|28760|3|28760|28760|48.00|24.00|48.00|24.00|forest chocolate ivory sky maroon|forest chocolate ivory sky maroon|Supplier#000001263|CANADA|rQWr6nf8ZhB2TAiIDIvo5Io|
176332|7779|1367|7779|1367|176332|3|176332|1367|176332|1367|1367|176332|3|176332|176332|82.00|41.00|82.00|41.00|forest linen burnished navy red|forest linen burnished navy red|Supplier#000001367|CANADA|42YSkFcAXMMcucsqeEefOE4HeCC|
88917|9870|1426|9870|1426|88917|3|88917|1426|88917|1426|1426|88917|3|88917|88917|41.00|20.50|41.00|20.50|forest navajo sky midnight steel|forest navajo sky midnight steel|Supplier#000001426|CANADA|bPOCc086oFm8sLtS,fGrH|
48941|9158|1446|9158|1446|48941|3|48941|1446|48941|1446|1446|48941|3|48941|48941|4.00|2.00|4.00|2.00|forest royal navy orchid sienna|forest royal navy orchid sienna|Supplier#000001446|CANADA|lch9HMNU1R7a0LIybsUodVknk6|
123963|9444|1500|9444|1500|123963|3|123963|1500|123963|1500|1500|123963|3|123963|123963|17.00|8.50|17.00|8.50|forest honeydew misty firebrick pink|forest honeydew misty firebrick pink|Supplier#000001500|CANADA|wDmF5xLxtQch9ctVu,|
54086|8292|1602|8292|1602|54086|3|54086|1602|54086|1602|1602|54086|3|54086|54086|15.00|7.50|15.00|7.50|forest pink steel cream sandy|forest pink steel cream sandy|Supplier#000001602|CANADA|uKNWIeafaM644|
46617|7371|1626|7371|1626|46617|3|46617|1626|46617|1626|1626|46617|3|46617|46617|62.00|31.00|62.00|31.00|forest gainsboro medium smoke antique|forest gainsboro medium smoke antique|Supplier#000001626|CANADA|UhxNRzUu1dtFmp0|
139168|8223|1682|8223|1682|139168|3|139168|1682|139168|1682|1682|139168|3|139168|139168|58.00|29.00|58.00|29.00|forest orchid metallic gainsboro goldenrod|forest orchid metallic gainsboro goldenrod|Supplier#000001682|CANADA|pXTkGxrTQVyH1Rr|
56689|8001|1700|8001|1700|56689|3|56689|1700|56689|1700|1700|56689|3|56689|56689|11.00|5.50|11.00|5.50|forest lawn red indian orchid|forest lawn red indian orchid|Supplier#000001700|CANADA|7hMlCof1Y5zLFg|
29223|7451|1726|7451|1726|29223|3|29223|1726|29223|1726|1726|29223|3|29223|29223|37.00|18.50|37.00|18.50|forest mint peach beige red|forest mint peach beige red|Supplier#000001726|CANADA|TeRY7TtTH24sEword7yAaSkjx8|
51729|5734|1730|5734|1730|51729|3|51729|1730|51729|1730|1730|51729|3|51729|51729|40.00|20.00|40.00|20.00|forest turquoise violet lace wheat|forest turquoise violet lace wheat|Supplier#000001730|CANADA|Rc8e,1Pybn r6zo0VJIEiD0UD vhk|
114212|2617|1746|2617|1746|114212|3|114212|1746|114212|1746|1746|114212|3|114212|114212|32.00|16.00|32.00|16.00|forest saddle sandy firebrick tomato|forest saddle sandy firebrick tomato|Supplier#000001746|CANADA|qWsendlOekQG1aW4uq06uQaCm51se8lirv7 hBRd|
96787|2023|1806|2023|1806|96787|3|96787|1806|96787|1806|1806|96787|3|96787|96787|13.00|6.50|13.00|6.50|forest cornflower violet tan royal|forest cornflower violet tan royal|Supplier#000001806|CANADA|M934fuZSnLW|
86838|9172|1855|9172|1855|86838|3|86838|1855|86838|1855|1855|86838|3|86838|86838|90.00|45.00|90.00|45.00|forest sienna khaki drab dim|forest sienna khaki drab dim|Supplier#000001855|CANADA|MWk6EAeozXb|
69424|8209|1931|8209|1931|69424|3|69424|1931|69424|1931|1931|69424|3|69424|69424|29.00|14.50|29.00|14.50|forest burnished rose lemon pink|forest burnished rose lemon pink|Supplier#000001931|CANADA|FpJbMU2h6ZR2eBv8I9NIxF|
119510|8315|2022|8315|2022|119510|3|119510|2022|119510|2022|2022|119510|3|119510|119510|25.00|12.50|25.00|12.50|forest firebrick medium orange rose|forest firebrick medium orange rose|Supplier#000002022|CANADA|dwebGX7Id2pc25YvY33|
64517|3055|2036|3055|2036|64517|3|64517|2036|64517|2036|2036|64517|3|64517|64517|48.00|24.00|48.00|24.00|forest lace blanched brown salmon|forest lace blanched brown salmon|Supplier#000002036|CANADA|20ytTtVObjKUUI2WCB0A|
37089|2258|2096|2258|2096|37089|3|37089|2096|37089|2096|2096|37089|3|37089|37089|67.00|33.50|67.00|33.50|forest dark papaya seashell navajo|forest dark papaya seashell navajo|Supplier#000002096|CANADA|kuxseyLtq QPLXxm9ZUrnB6Kkh92JtK5cQzzXNU|
192116|9745|2117|9745|2117|192116|3|192116|2117|192116|2117|2117|192116|3|192116|192116|65.00|32.50|65.00|32.50|forest orchid drab tan seashell|forest orchid drab tan seashell|Supplier#000002117|CANADA|MRtkgKolHJ9Wh X9J,urANHKDzvjr|
64685|8392|2204|8392|2204|64685|3|64685|2204|64685|2204|2204|64685|3|64685|64685|86.00|43.00|86.00|43.00|forest khaki green dodger tomato|forest khaki green dodger tomato|Supplier#000002204|CANADA|uYmlr46C06udCqanj0KiRsoTQakZsEyssL|
2217|7698|2218|7698|2218|2217|3|2217|2218|2217|2218|2218|2217|3|2217|2217|48.00|24.00|48.00|24.00|forest lavender snow thistle peru|forest lavender snow thistle peru|Supplier#000002218|CANADA|nODZw5q4dx kp0K5|
127218|3402|2243|3402|2243|127218|3|127218|2243|127218|2243|2243|127218|3|127218|127218|44.00|22.00|44.00|22.00|forest saddle cyan beige lavender|forest saddle cyan beige lavender|Supplier#000002243|CANADA|nSOEV3JeOU79|
199725|1908|2245|1908|2245|199725|3|199725|2245|199725|2245|2245|199725|3|199725|199725|63.00|31.50|63.00|31.50|forest tan spring hot navajo|forest tan spring hot navajo|Supplier#000002245|CANADA|hz2qWXWVjOyKhqPYMoEwz6zFkrTaDM|
144739|8021|2282|8021|2282|144739|3|144739|2282|144739|2282|2282|144739|3|144739|144739|22.00|11.00|22.00|11.00|forest blush pale mint turquoise|forest blush pale mint turquoise|Supplier#000002282|CANADA|ES21K9dxoW1I1TzWCj7ekdlNwSWnv1Z  6mQ,BKn|
79795|6345|2303|6345|2303|79795|3|79795|2303|79795|2303|2303|79795|3|79795|79795|107.00|53.50|107.00|53.50|forest honeydew orange azure deep|forest honeydew orange azure deep|Supplier#000002303|CANADA|nCoWfpB6YOymbgOht7ltfklpkHl|
199811|7394|2331|7394|2331|199811|3|199811|2331|199811|2331|2331|199811|3|199811|199811|55.00|27.50|55.00|27.50|forest blanched floral ivory linen|forest blanched floral ivory linen|Supplier#000002331|CANADA|WRh2w5WFvRg7Z0S1AvSvHCL|
152372|2640|2373|2640|2373|152372|3|152372|2373|152372|2373|2373|152372|3|152372|152372|1.00|0.50|1.00|0.50|forest navajo pale grey goldenrod|forest navajo pale grey goldenrod|Supplier#000002373|CANADA|RzHSxOTQmElCjxIBiVA52Z JB58rJhPRylR|
64900|636|2419|636|2419|64900|3|64900|2419|64900|2419|2419|64900|3|64900|64900|82.00|41.00|82.00|41.00|forest pink chartreuse rose antique|forest pink chartreuse rose antique|Supplier#000002419|CANADA|qydBQd14I5l5mVXa4fYY|
55055|7665|2571|7665|2571|55055|3|55055|2571|55055|2571|2571|55055|3|55055|55055|54.00|27.00|54.00|27.00|forest navy white chiffon blanched|forest navy white chiffon blanched|Supplier#000002571|CANADA|JZUugz04c iJFLrlGsz9O N,W 1rVHNIReyq|
137558|9372|2585|9372|2585|137558|3|137558|2585|137558|2585|2585|137558|3|137558|137558|36.00|18.00|36.00|18.00|forest beige ghost khaki green|forest beige ghost khaki green|Supplier#000002585|CANADA|CsPoKpw2QuTY4AV1NkWuttneIa4SN|
25122|4598|2629|4598|2629|25122|3|25122|2629|25122|2629|2629|25122|3|25122|25122|76.00|38.00|76.00|38.00|forest pale orange cyan red|forest pale orange cyan red|Supplier#000002629|CANADA|0Bw,q5Zp8su9XrzoCngZ3cAEXZwZ|
