--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
o_year|sum_profit|nation|
1998|27136908.00|ALGERIA|
1997|48611836.00|ALGERIA|
1996|48285468.00|ALGERIA|
1995|44402264.00|ALGERIA|
1994|48693984.00|ALGERIA|
1993|46044252.00|ALGERIA|
1992|45636852.00|ALGERIA|
1998|28341684.00|ARGENTINA|
1997|47143996.00|ARGENTINA|
1996|45255288.00|ARGENTINA|
1995|45631724.00|ARGENTINA|
1994|48268804.00|ARGENTINA|
1993|48605612.00|ARGENTINA|
1992|46654268.00|ARGENTINA|
1998|26527734.00|BRAZIL|
1997|45640644.00|BRAZIL|
1996|45090640.00|BRAZIL|
1995|44015876.00|BRAZIL|
1994|44854192.00|BRAZIL|
1993|45766652.00|BRAZIL|
1992|45280196.00|BRAZIL|
1998|26828990.00|CANADA|
1997|44849964.00|CANADA|
1996|46307936.00|CANADA|
1995|47311920.00|CANADA|
1994|46691516.00|CANADA|
1993|46634792.00|CANADA|
1992|45873832.00|CANADA|
1998|27510152.00|CHINA|
1997|46123892.00|CHINA|
1996|49532804.00|CHINA|
1995|46734680.00|CHINA|
1994|46397892.00|CHINA|
1993|49634720.00|CHINA|
1992|46949400.00|CHINA|
1998|28401502.00|EGYPT|
1997|47674848.00|EGYPT|
1996|47745716.00|EGYPT|
1995|45897160.00|EGYPT|
1994|47194888.00|EGYPT|
1993|49133600.00|EGYPT|
1992|47000560.00|EGYPT|
1998|25135064.00|ETHIOPIA|
1997|43010620.00|ETHIOPIA|
1996|43636304.00|ETHIOPIA|
1995|43575784.00|ETHIOPIA|
1994|41597176.00|ETHIOPIA|
1993|42622816.00|ETHIOPIA|
1992|44385724.00|ETHIOPIA|
1998|26210380.00|FRANCE|
1997|42392976.00|FRANCE|
1996|43306320.00|FRANCE|
1995|46377420.00|FRANCE|
1994|43447396.00|FRANCE|
1993|43729948.00|FRANCE|
1992|44052320.00|FRANCE|
1998|25991248.00|GERMANY|
1997|43968336.00|GERMANY|
1996|45882088.00|GERMANY|
1995|43314332.00|GERMANY|
1994|44616964.00|GERMANY|
1993|45126636.00|GERMANY|
1992|44361176.00|GERMANY|
1998|29626406.00|INDIA|
1997|51386140.00|INDIA|
1996|47570996.00|INDIA|
1995|49344072.00|INDIA|
1994|50106964.00|INDIA|
1993|48112768.00|INDIA|
1992|47914304.00|INDIA|
1998|27734938.00|INDONESIA|
1997|44593796.00|INDONESIA|
1996|44746680.00|INDONESIA|
1995|45593648.00|INDONESIA|
1994|45988488.00|INDONESIA|
1993|46147936.00|INDONESIA|
1992|45185764.00|INDONESIA|
1998|26661604.00|IRAN|
1997|45019120.00|IRAN|
1996|45891372.00|IRAN|
1995|44414264.00|IRAN|
1994|43696384.00|IRAN|
1993|45362812.00|IRAN|
1992|43052408.00|IRAN|
1998|31188506.00|IRAQ|
1997|48585332.00|IRAQ|
1996|50036600.00|IRAQ|
1995|48774776.00|IRAQ|
1994|48795872.00|IRAQ|
1993|47435700.00|IRAQ|
1992|47562392.00|IRAQ|
1998|24694122.00|JAPAN|
1997|42377048.00|JAPAN|
1996|40267780.00|JAPAN|
1995|40925352.00|JAPAN|
1994|41159460.00|JAPAN|
1993|39589060.00|JAPAN|
1992|39113468.00|JAPAN|
1998|23489856.00|JORDAN|
1997|41615968.00|JORDAN|
1996|41860868.00|JORDAN|
1995|39931676.00|JORDAN|
1994|40707608.00|JORDAN|
1993|39060416.00|JORDAN|
1992|41657604.00|JORDAN|
1998|25566348.00|KENYA|
1997|43108808.00|KENYA|
1996|43482948.00|KENYA|
1995|42518004.00|KENYA|
1994|43612468.00|KENYA|
1993|42724012.00|KENYA|
1992|43217056.00|KENYA|
1998|24915504.00|MOROCCO|
1997|42698428.00|MOROCCO|
1996|42986124.00|MOROCCO|
1995|42316072.00|MOROCCO|
1994|43458624.00|MOROCCO|
1993|42672288.00|MOROCCO|
1992|42800792.00|MOROCCO|
1998|28279870.00|MOZAMBIQUE|
1997|51159220.00|MOZAMBIQUE|
1996|48072512.00|MOZAMBIQUE|
