--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
o_year|sum_profit|nation|
1998|27136916.00|ALGERIA|
1997|48611864.00|ALGERIA|
1996|48285464.00|ALGERIA|
1995|44402284.00|ALGERIA|
1994|48693944.00|ALGERIA|
1993|46044248.00|ALGERIA|
1992|45636876.00|ALGERIA|
1998|28341686.00|ARGENTINA|
1997|47143980.00|ARGENTINA|
1996|45255220.00|ARGENTINA|
1995|45631736.00|ARGENTINA|
1994|48268836.00|ARGENTINA|
1993|48605604.00|ARGENTINA|
1992|46654232.00|ARGENTINA|
1998|26527728.00|BRAZIL|
1997|45640640.00|BRAZIL|
1996|45090596.00|BRAZIL|
1995|44015884.00|BRAZIL|
1994|44854204.00|BRAZIL|
1993|45766596.00|BRAZIL|
1992|45280148.00|BRAZIL|
1998|26828982.00|CANADA|
1997|44849948.00|CANADA|
1996|46307936.00|CANADA|
1995|47311936.00|CANADA|
1994|46691480.00|CANADA|
1993|46634796.00|CANADA|
1992|45873824.00|CANADA|
1998|27510162.00|CHINA|
1997|46123876.00|CHINA|
1996|49532820.00|CHINA|
1995|46734624.00|CHINA|
1994|46397880.00|CHINA|
1993|49634668.00|CHINA|
1992|46949464.00|CHINA|
1998|28401514.00|EGYPT|
1997|47674820.00|EGYPT|
1996|47745700.00|EGYPT|
1995|45897156.00|EGYPT|
1994|47194896.00|EGYPT|
1993|49133680.00|EGYPT|
1992|47000580.00|EGYPT|
1998|25135046.00|ETHIOPIA|
1997|43010588.00|ETHIOPIA|
1996|43636300.00|ETHIOPIA|
1995|43575736.00|ETHIOPIA|
1994|41597192.00|ETHIOPIA|
1993|42622836.00|ETHIOPIA|
1992|44385716.00|ETHIOPIA|
1998|26210398.00|FRANCE|
1997|42392984.00|FRANCE|
1996|43306316.00|FRANCE|
1995|46377412.00|FRANCE|
1994|43447364.00|FRANCE|
1993|43729936.00|FRANCE|
1992|44052320.00|FRANCE|
1998|25991254.00|GERMANY|
1997|43968384.00|GERMANY|
1996|45882096.00|GERMANY|
1995|43314384.00|GERMANY|
1994|44616988.00|GERMANY|
1993|45126660.00|GERMANY|
1992|44361160.00|GERMANY|
1998|29626408.00|INDIA|
1997|51386124.00|INDIA|
1996|47571044.00|INDIA|
1995|49344096.00|INDIA|
1994|50106952.00|INDIA|
1993|48112764.00|INDIA|
1992|47914292.00|INDIA|
1998|27734942.00|INDONESIA|
1997|44593804.00|INDONESIA|
1996|44746712.00|INDONESIA|
1995|45593608.00|INDONESIA|
1994|45988504.00|INDONESIA|
1993|46147948.00|INDONESIA|
1992|45185748.00|INDONESIA|
1998|26661616.00|IRAN|
1997|45019132.00|IRAN|
1996|45891388.00|IRAN|
1995|44414260.00|IRAN|
1994|43696348.00|IRAN|
1993|45362756.00|IRAN|
1992|43052356.00|IRAN|
1998|31188524.00|IRAQ|
1997|48585336.00|IRAQ|
1996|50036616.00|IRAQ|
1995|48774816.00|IRAQ|
1994|48795856.00|IRAQ|
1993|47435632.00|IRAQ|
1992|47562348.00|IRAQ|
1998|24694114.00|JAPAN|
1997|42377072.00|JAPAN|
1996|40267804.00|JAPAN|
1995|40925272.00|JAPAN|
1994|41159452.00|JAPAN|
1993|39589056.00|JAPAN|
1992|39113504.00|JAPAN|
1998|23489864.00|JORDAN|
1997|41615976.00|JORDAN|
1996|41860880.00|JORDAN|
1995|39931660.00|JORDAN|
1994|40707580.00|JORDAN|
1993|39060400.00|JORDAN|
1992|41657616.00|JORDAN|
1998|25566362.00|KENYA|
1997|43108844.00|KENYA|
1996|43482984.00|KENYA|
1995|42518012.00|KENYA|
1994|43612504.00|KENYA|
1993|42724024.00|KENYA|
1992|43217072.00|KENYA|
1998|24915504.00|MOROCCO|
1997|42698384.00|MOROCCO|
1996|42986112.00|MOROCCO|
1995|42316076.00|MOROCCO|
1994|43458584.00|MOROCCO|
1993|42672248.00|MOROCCO|
1992|42800796.00|MOROCCO|
1998|28279858.00|MOZAMBIQUE|
1997|51159196.00|MOZAMBIQUE|
1996|48072492.00|MOZAMBIQUE|
1995|48905204.00|MOZAMBIQUE|
1994|46092100.00|MOZAMBIQUE|
1993|48555904.00|MOZAMBIQUE|
1992|47809036.00|MOZAMBIQUE|
1998|26713928.00|PERU|
1997|48323992.00|PERU|
1996|50309996.00|PERU|
1995|49647044.00|PERU|
1994|46420900.00|PERU|
1993|51536888.00|PERU|
1992|47711648.00|PERU|
1998|27272022.00|ROMANIA|
1997|45063060.00|ROMANIA|
1996|47492312.00|ROMANIA|
1995|45710660.00|ROMANIA|
1994|46088076.00|ROMANIA|
1993|47515092.00|ROMANIA|
1992|44111412.00|ROMANIA|
1998|27935318.00|RUSSIA|
1997|48222308.00|RUSSIA|
1996|47553592.00|RUSSIA|
1995|46756032.00|RUSSIA|
1994|48000508.00|RUSSIA|
1993|48569592.00|RUSSIA|
1992|47672864.00|RUSSIA|
1998|27113528.00|SAUDI ARABIA|
1997|46690444.00|SAUDI ARABIA|
1996|47775784.00|SAUDI ARABIA|
1995|46657128.00|SAUDI ARABIA|
1994|48181664.00|SAUDI ARABIA|
1993|45692552.00|SAUDI ARABIA|
1992|48924888.00|SAUDI ARABIA|
1998|26366672.00|UNITED KINGDOM|
1997|44518140.00|UNITED KINGDOM|
1996|45539680.00|UNITED KINGDOM|
1995|46845824.00|UNITED KINGDOM|
1994|43081640.00|UNITED KINGDOM|
1993|44770160.00|UNITED KINGDOM|
1992|44123376.00|UNITED KINGDOM|
1998|27826608.00|UNITED STATES|
1997|46638576.00|UNITED STATES|
1996|46688308.00|UNITED STATES|
1995|48951564.00|UNITED STATES|
1994|45099120.00|UNITED STATES|
1993|46181564.00|UNITED STATES|
1992|46168192.00|UNITED STATES|
1998|27281914.00|VIETNAM|
1997|48735928.00|VIETNAM|
1996|47824604.00|VIETNAM|
1995|48235160.00|VIETNAM|
1994|47729276.00|VIETNAM|
1993|45352700.00|VIETNAM|
1992|47846316.00|VIETNAM|
---------------------------------------------------
Planning time: 2.01 ms
Data Load Time (Disk+Upload): 3850.83 ms
GPU kernels time: 579.18 ms
CPU postprocess time: 396.80 ms
Node timing: Scan=0.0(g0.0)ms Join=64.0(g30.7)ms Save=0.0(g0.0)ms Scan=0.0(g0.0)ms Join=91.0(g49.0)ms Save=0.0(g0.0)ms Scan=74.0(g69.8)ms Save=3.6(g0.0)ms Scan=9.3(g0.0)ms Join=182.3(g98.7)ms Join=106.9(g58.4)ms Join=134.9(g41.3)ms Project=99.3(g92.8)ms Project=0.1(g0.0)ms Project=0.1(g0.0)ms GroupBy=101.6(g39.9)ms Project=29.9(g35.7)ms Project=0.0(g0.0)ms OrderBy=48.0(g24.9)ms Project=31.0(g37.9)ms
Total Internal Pipeline time: 4826.80 ms
Total Host Execution time: 4843.98 ms
Total Wall time (Plan+Exec): 4846.00 ms
---------------------------------------------------
GPU Kernel Timing Summary:
─────────────────────────────────────────
  batch_flush    :  174.227 ms (30.082%) [8 calls]
  filter         :   69.838 ms (12.058%) [1 calls]
  gather         :  151.530 ms (26.163%) [7 calls]
  gather_dispatch:    1.762 ms (0.304%) [57 calls]
  groupby        :   39.887 ms (6.887%) [2 calls]
  hash_join_probe_u32:  133.940 ms (23.126%) [4 calls]
  sort           :    7.993 ms (1.380%) [2 calls]
─────────────────────────────────────────
  TOTAL GPU TIME: 579.177 ms
  Kernel invocations: 81
